Date,Time,Nairobi Temperature [2 m elevation corrected],Nairobi Relative Humidity [2 m],Nairobi Wind Speed [10 m],Nairobi Wind Direction [10 m]
3/7/2021,12:00:00 AM,19.773151,53,9.220499,38.659805
3/7/2021,1:00:00 AM,19.41315,54,8.707237,29.744873
3/7/2021,2:00:00 AM,19.013151,55,8.373386,25.463333
3/7/2021,3:00:00 AM,18.543152,57,7.729527,27.75853
3/7/2021,4:00:00 AM,17.98315,59,7.10031,30.465546
3/7/2021,5:00:00 AM,17.463152,61,7.289445,32.905228
3/7/2021,6:00:00 AM,16.953152,64,6.763786,25.201126
3/7/2021,7:00:00 AM,16.693151,66,6.2145634,10.00798
3/7/2021,8:00:00 AM,18.213152,61,6.12,28.07248
3/7/2021,9:00:00 AM,20.173151,57,9.957108,49.398697
3/7/2021,10:00:00 AM,21.943151,52,12.7279215,61.2602
3/7/2021,11:00:00 AM,23.66315,46,15.629971,61.073563
3/7/2021,12:00:00 PM,25.24315,41,17.068707,62.354027
3/7/2021,1:00:00 PM,26.513151,36,18.514643,63.43495
3/7/2021,2:00:00 PM,27.05315,32,18.998316,62.9494
3/7/2021,3:00:00 PM,27.343151,36,21.178896,58.20108
3/7/2021,4:00:00 PM,27.16315,37,20.497883,59.381393
3/7/2021,5:00:00 PM,26.453152,38,20.63023,60.751175
3/7/2021,6:00:00 PM,25.72315,39,20.288164,62.52556
3/7/2021,7:00:00 PM,24.593151,42,18.532133,65.92449
3/7/2021,8:00:00 PM,23.48315,45,18.25026,67.98871
3/7/2021,9:00:00 PM,22.49315,48,15.778518,62.85031
3/7/2021,10:00:00 PM,21.353151,50,14.20062,59.534447
3/7/2021,11:00:00 PM,20.56315,53,12.313894,52.125008
3/8/2021,12:00:00 AM,20.56315,53,11.720751,47.489548
3/8/2021,1:00:00 AM,20.14315,55,10.691453,44.999985
3/8/2021,2:00:00 AM,19.22315,58,9.931042,46.468796
3/8/2021,3:00:00 AM,18.74315,60,9.290511,54.46232
3/8/2021,4:00:00 AM,18.193151,63,10.00256,59.74356
3/8/2021,5:00:00 AM,17.683151,66,8.161764,48.576324
3/8/2021,6:00:00 AM,17.24315,69,6.9153743,38.659805
3/8/2021,7:00:00 AM,17.013151,71,6.6087217,29.357742
3/8/2021,8:00:00 AM,18.213152,67,8.4963045,36.38434
3/8/2021,9:00:00 AM,19.923151,62,9.422101,43.451828
3/8/2021,10:00:00 AM,21.693151,55,11.792404,58.736267
3/8/2021,11:00:00 AM,23.39315,49,14.168641,62.783897
3/8/2021,12:00:00 PM,24.91315,45,15.778518,62.85031
3/8/2021,1:00:00 PM,26.16315,36,17.906157,59.82647
3/8/2021,2:00:00 PM,26.873152,32,19.022177,60.524117
3/8/2021,3:00:00 PM,26.97315,34,20.26899,56.592163
3/8/2021,4:00:00 PM,26.90315,35,20.87379,57.680374
3/8/2021,5:00:00 PM,26.463152,36,21.120682,60.37625
3/8/2021,6:00:00 PM,25.56315,38,20.288164,62.52556
3/8/2021,7:00:00 PM,24.213152,42,17.072504,65.0561
3/8/2021,8:00:00 PM,23.213152,47,15.978484,67.47943
3/8/2021,9:00:00 PM,21.75315,53,14.658676,65.323135
3/8/2021,10:00:00 PM,20.763151,55,12.4811535,56.768288
3/8/2021,11:00:00 PM,20.23315,57,11.304229,52.76516
3/9/2021,12:00:00 AM,19.783152,58,10.233123,50.7106
3/9/2021,1:00:00 AM,19.433151,60,9.422101,46.54814
3/9/2021,2:00:00 AM,19.00315,62,8.669949,41.63353
3/9/2021,3:00:00 AM,19.07315,62,8.161764,48.576324
3/9/2021,4:00:00 AM,18.513151,65,7.9036193,59.93141
3/9/2021,5:00:00 AM,18.263151,66,6.638072,49.398697
3/9/2021,6:00:00 AM,18.08315,68,6.1305785,40.236343
3/9/2021,7:00:00 AM,17.623152,70,5.1919937,33.690063
3/9/2021,8:00:00 AM,18.47315,68,7.2,36.86989
3/9/2021,9:00:00 AM,19.99315,63,9.686609,41.987198
3/9/2021,10:00:00 AM,21.603151,57,10.805998,60.018356
3/9/2021,11:00:00 AM,23.113152,51,11.043261,70.97439
3/9/2021,12:00:00 PM,24.513151,44,12.413476,73.141594
3/9/2021,1:00:00 PM,25.703152,36,14.458382,71.113914
3/9/2021,2:00:00 PM,26.543152,31,15.978484,67.47943
3/9/2021,3:00:00 PM,27.013151,30,19.652176,61.557068
3/9/2021,4:00:00 PM,26.853151,31,20.929594,63.43495
3/9/2021,5:00:00 PM,26.353151,32,21.42227,65.1576
3/9/2021,6:00:00 PM,25.49315,34,21.129885,66.92959
3/9/2021,7:00:00 PM,24.043152,37,17.917007,67.55725
3/9/2021,8:00:00 PM,22.82315,42,15.042659,68.962494
3/9/2021,9:00:00 PM,21.593151,46,14.372974,67.9321
3/9/2021,10:00:00 PM,20.593151,51,12.303366,69.443954
3/9/2021,11:00:00 PM,19.57315,56,10.365251,69.67686
3/10/2021,12:00:00 AM,19.31315,59,9.83268,66.250496
3/10/2021,1:00:00 AM,18.603151,63,9.983106,64.358986
3/10/2021,2:00:00 AM,17.953152,67,10.829958,68.55225
3/10/2021,3:00:00 AM,17.113152,73,9.793058,72.89727
3/10/2021,4:00:00 AM,16.363152,79,8.089993,69.14554
3/10/2021,5:00:00 AM,16.183151,82,7.8954163,65.772255
3/10/2021,6:00:00 AM,15.763151,86,8.217153,61.18921
3/10/2021,7:00:00 AM,15.363151,90,8.942214,49.89908
3/10/2021,8:00:00 AM,15.823151,89,10.009036,52.305756
3/10/2021,9:00:00 AM,17.16315,82,11.609651,60.25511
3/10/2021,10:00:00 AM,19.123152,69,13.584932,57.994614
3/10/2021,11:00:00 AM,21.363152,55,14.693999,59.036255
3/10/2021,12:00:00 PM,23.47315,45,16.904673,63.43495
3/10/2021,1:00:00 PM,25.033152,37,19.319628,63.43495
3/10/2021,2:00:00 PM,26.113152,32,21.096123,64.74683
3/10/2021,3:00:00 PM,27.48315,25,22.226902,65.09524
3/10/2021,4:00:00 PM,27.443151,26,22.461807,68.36911
3/10/2021,5:00:00 PM,26.963152,26,22.79684,68.702644
3/10/2021,6:00:00 PM,25.91315,29,21.868332,69.77514
3/10/2021,7:00:00 PM,24.343151,33,17.58481,67.10944
3/10/2021,8:00:00 PM,23.113152,39,15.137133,64.65382
3/10/2021,9:00:00 PM,21.943151,44,14.33234,64.722275
3/10/2021,10:00:00 PM,20.88315,49,13.049689,65.55604
3/10/2021,11:00:00 PM,20.00315,54,11.269782,63.43495
3/11/2021,12:00:00 AM,19.363152,59,10.495713,59.036232
3/11/2021,1:00:00 AM,18.873152,63,10.1887,57.994614
3/11/2021,2:00:00 AM,18.423151,66,10.630672,61.699234
3/11/2021,3:00:00 AM,17.75315,70,9.511088,60.524117
3/11/2021,4:00:00 AM,17.093151,75,8.435069,50.194427
3/11/2021,5:00:00 AM,16.55315,78,7.491114,35.217575
3/11/2021,6:00:00 AM,16.103151,80,6.763786,25.201126
3/11/2021,7:00:00 AM,15.913151,81,6.151683,20.556046
3/11/2021,8:00:00 AM,17.22315,78,7.145796,40.914368
3/11/2021,9:00:00 AM,19.25315,70,11.384198,55.304832
3/11/2021,10:00:00 AM,21.353151,60,14.81259,64.05769
3/11/2021,11:00:00 AM,23.193151,50,16.92383,66.161255
3/11/2021,12:00:00 PM,24.703152,44,17.447933,68.19859
3/11/2021,1:00:00 PM,25.88315,41,18.331741,70.49754
3/11/2021,2:00:00 PM,26.773151,34,19.353138,71.56504
3/11/2021,3:00:00 PM,28.103151,28,22.427162,71.27421
3/11/2021,4:00:00 PM,28.093151,25,22.206486,73.033844
3/11/2021,5:00:00 PM,27.40315,28,21.758419,73.663956
3/11/2021,6:00:00 PM,26.33315,30,21.068459,73.1132
3/11/2021,7:00:00 PM,24.783152,34,16.394829,70.76932
3/11/2021,8:00:00 PM,23.543152,38,14.24163,69.274445
3/11/2021,9:00:00 PM,22.15315,42,14.458382,71.113914
3/11/2021,10:00:00 PM,20.90315,47,13.207634,72.5528
3/11/2021,11:00:00 PM,20.05315,51,12.303366,69.443954
3/12/2021,12:00:00 AM,19.943151,53,11.440979,65.854454
3/12/2021,1:00:00 AM,19.353151,56,11.440979,65.854454
3/12/2021,2:00:00 AM,18.093151,62,11.298495,67.52056
3/12/2021,3:00:00 AM,17.193151,68,10.00256,59.74356
3/12/2021,4:00:00 AM,16.603151,74,8.913181,43.36342
3/12/2021,5:00:00 AM,16.113152,79,8.78872,34.99202
3/12/2021,6:00:00 AM,15.753151,82,7.9932966,35.837646
3/12/2021,7:00:00 AM,15.663151,83,7.42159,39.09384
3/12/2021,8:00:00 AM,16.763151,79,9.178235,48.179825
3/12/2021,9:00:00 AM,18.843151,70,11.090103,54.2461
3/12/2021,10:00:00 AM,21.08315,59,14.336861,61.50435
3/12/2021,11:00:00 AM,23.343151,49,17.22742,63.970406
3/12/2021,12:00:00 PM,25.183151,39,18.532133,65.92449
3/12/2021,1:00:00 PM,26.57315,31,20.188908,68.008865
3/12/2021,2:00:00 PM,27.533152,26,20.60823,70.61548
3/12/2021,3:00:00 PM,27.82315,26,22.768398,71.56504
3/12/2021,4:00:00 PM,27.683151,27,23.452555,72.1213
3/12/2021,5:00:00 PM,27.05315,29,22.768398,71.56504
3/12/2021,6:00:00 PM,25.933151,31,21.53089,69.443954
3/12/2021,7:00:00 PM,24.453152,34,17.917007,67.55725
3/12/2021,8:00:00 PM,23.263151,38,16.179985,69.14554
3/12/2021,9:00:00 PM,21.89315,43,15.484185,72.40757
3/12/2021,10:00:00 PM,20.66315,48,14.241629,73.85565
3/12/2021,11:00:00 PM,19.853151,52,11.966953,68.83874
3/13/2021,12:00:00 AM,19.293152,55,11.269782,63.43495
